row_id	orders	rider	cost
244676	83	1792	0.060000000000000497
250204	1094	1480	1.3848000000000011
257078	1236	1945	3.0659999999999998
257275	28	3375	0.32301872677638332
257761	99	3020	3.282
258678	243	2208	0.1666777777777779
259161	333	2399	4.0044000000000013
260228	522	3159	9.2000000000000011
262098	859	2432	3.7553444444444457
262861	1036	2872	1.7200000000000006
266413	476	2445	0.95284444444444549
271369	97,153,531	273	13.242000000000003
271802	244	2158	6.9705000000000004
273641	561	335	4.2579999999999991
276127	1035	642	3.73
279214	376	1187	7.0343999999999998
279873	494	1784	15.247999999999999
282194	885	787	1.1559999999999997
283013	1030	2566	13.834000000000001
284197	21	2700	6.6720000000000006
284401	64	2705	2.838000000000001
285714	287,1226	1081	8.0084999999999997
286099	360	2379	2.097999999999999
286412	542,997	950	9.8179999999999996
286983	535	1937	9.2460000000000004
287139	558	1882	2.2724666666666655
289781	939,1013	1162	3.9389444444444459
291563	769,865,927	1996	14.764899999999999
295417	299,1172	106	9.5760444444444452
295838	995	2560	9.0679999999999996
297279	63	3247	1.6500444444444442
304484	240	1947	2.0399999999999991
304734	286	2343	0.76399999999999935
305183	364	1490	7.2880000000000003
305809	472	191	3.7460000000000004
306344	552	1068	12.776
311311	528,744,895	2728	20.686000000000003
312017	529,1059	1198	0.63781111111110977
312552	419	3379	4.4040000000000008
318419	211,1202	1946	2.6721000000000008
319087	440	1028	1.870000000000001
321882	993	245	1.0753333333333359
325694	448	2740	2.3719999999999999
328032	903	2267	0.35884444444444452
331378	284	2025	5.968
331930	382	2614	0.089999999999999858
332533	508	2092	17.713999999999999
332832	355,482	2629	4.0839999999999996
336413	15	1115	15.762
338293	370	766	3.9640000000000022
341425	1002	3108	5.218
343126	43	1244	1.282
345083	393	1968	1.0707036779477663
346744	649,1040	700	5.519836608863196
349885	1220	2887	2.0020000000000007
350984	219,729,1214	3001	16.473111111111113
352085	341,820	3171	0.4919999999999991
355803	1111	1295	3.7600000000000011
359428	519,984	3316	2.3717555555555552
365386	490	1566	0.81831111111111143
366377	662	1853	0.89599999999999902
366820	748	2579	4.7980000000000009
371921	415,471,766,1184	1633	20.006
377812	378	1294	1.3719999999999999
382313	188,1095	3016	8.9205444444444453
382963	192,765,774,1185	3443	11.728400000000001
386717	878	947	8.3804444444444446
387220	967	2052	11.155255555555534
389797	135,487	2047	5.7599999999999998
392383	648	2059	0.15556666666666605
394163	168,462,541,633	734	11.688000000000001
395038	1180	2458	3.3260000000000001
397637	366	2114	0.30799999999999983
398728	538	1829	13.174000000000001
399684	725	1145	0.24999999999999911
403929	306	3224	3.3233444444444444
406149	737	1089	0.064000000000000057
406331	767	267	14.824000000000002
409660	148	975	11.16
411677	310,989	1587	9.8992999999999967
412873	663,1097	2731	11.674011111111113
414183	951	2933	0.038866666666665994
415230	520,614	2019	4.6960000000000006
415585	16	1888	0.87999999999999901
418033	424	1934	9.3379999999999992
421158	1055	1288	2.5336708895811704
421374	1114	3320	0.24399999999999977
424320	426	451	10.77
426736	808,1153	2035	5.8290163032191078
427220	1061	1985	1.8820000000000008
439179	840	1010	1.4819999999999993
443280	307,517,539,829	3417	11.467211111111112
449209	260	1390	10.186
451322	643	1015	0.61799999999999988
453050	999	454	19.256
459417	959	2367	4.6099999999999994
461308	114	3326	0.54400000000000048
461789	136,730,1072	3234	24.521222222222224
465556	918	456	2.7662007824726116
467424	50	1571	2.2279999999999998
470656	665	2890	0.92800000000000082
473203	1176	3287	1.8774444444444442
477656	784	1412	2.3059999999999992
480519	441,555,749,1225	2567	21.012488888888889
481558	272	1644	0.19454444444444438
483156	574	2632	0.75600000000000023
488621	449,592,957,1215	2087	18.555425962262053
489916	661	89	2.3439999999999999
492080	1125	3035	0.85613333333333164
495804	575	2441	0.92253333333333265
496606	720	1439	0.50232222222222189
497819	932	3374	1.0540000000000003
499238	1193	1927	2.0198888888888891
504189	872	1626	2.6945444444444457
504452	323,1057,1197	1973	8.9520999999999979
505869	1168	2123	2.7057333333333329
508250	431,1196	2721	1.7574444444444457
513867	150	829	4.9524044444444435
515591	492	999	15.62751111111111
522689	530	801	13.018000000000001
523170	402,990	621	1.9806796296296287
523863	7,637,695,1218	158	13.257999999999999
531458	1000	2781	0.58999999999999986
532547	1200	173	6.5520111111111117
536603	699	3449	0.68561111111111295
538382	1045	2400	3.194
539429	9	3111	3.0880000000000005
540237	161	1023	4.4420197674418613
543215	694	1388	1.3600000000000012
551789	1135	1715	5.5640000000000001
558023	1148	1248	8.7240444444444467
559458	197	693	1.752611111111112
566665	330	2063	5.6140000000000008
571044	1104	1682	3.2140000000000004
572847	204	2586	1.5840000000000001
577926	8,1084,1115	3215	27.588000000000005
579312	156	878	4.5179999999999998
582573	805	2984	1.1839999999999993
